ID,Name,canonical_outcomes
19,"Appeal allowed  the  appellant's conviction is quashed and the sentence meted out to him is set aside,  henceforth, order the immediate release of the appellant from prison if he is not otherwise retained for some other lawful cause",Allowed | Quashed | Release ordered
20,Appeal Allowed with costs,Allowed
21,"Appeal being unmeritorious, is dismissed in its entirety.",Dismissed
22,Appeal devoid of merit and it is hereby dismissed in its entirety.,Dismissed
23,Appeal dismissed,Dismissed
24,Appeal dismissed  with costs,Dismissed
25,Appeal dismissed with costs to the third respondent,Dismissed
26,Appeal dismiss it in its entirety,Dismissed
27,Appeal dismiss it in its entirety with costs,Dismissed
28,Appeal failed,Dismissed
29,Appeal fails and dismissed,Dismissed
30,"Appeal fails in its entirely, thus dismissed.",Dismissed
31,Appeal has no merit and it is dismissed in its entirety.,Dismissed
32,Appeal has no merit and it is dismissed it with costs,Dismissed
33,"Appeal is allowed, conviction quashed and sentence set aside. The appellants are to be set at liberty forthwith, unless otherwise lawfully held.",Allowed | Quashed | Release ordered
34,Appeal is barren of fruits and we accordingly dismiss it in its entirety,Dismissed
35,Appeal is deemed to have been withdrawn upon the expiry of the prescribed period of sixty days after its lodgment for failure by the respondent to institute the appeal upon been issued with the certificate of delay each party  to bear its own costs,Withdrawn
36,"Appeal is devoid of merit, accordingly, dismiss it",Dismissed
37,Appeal is devoid of merit and  dismissed it.,Dismissed
38,Appeal is devoid of merit and dismiss it.,Dismissed
39,Appeal is dismissed in its entirety with costs,Dismissed
40,Appeal is partly allowed,Allowed in part
41,Appeal is strike out,Struck out
42,Appeal is struck out the respondents shall have their costs,Struck out
43,Appeal is struck out with cost,Struck out
44,"Appeal is therefore allowed, the conviction is quashed and the sentence imposed on the appellant is set aside,  further orderd that the appellant be set at liberty forthwith unless he is being so held for any other lawful cause.",Allowed | Quashed | Release ordered
45,Appeal is thus dismissed with costs,Dismissed
48,Appeal partially allowed,Allowed in part
49,Appeal partly allowed,Allowed in part
50,Appeal partly is allowed,Allowed in part
51,Appeal partly succeeds to the extent of the second and third grounds of appeal.,Allowed in part
52,Appeal quashed,Quashed
53,Appeal quashed  and set aside the evidence of witnesses so that another Chairman shall hear witnesses afresh by administering oaths before taking their evidence.,Quashed | Retrial ordered
54,Appeals are dismissed for lack of merit,Dismissed
55,Appeal stand dismissed with costs,Dismissed
56,Appeal strike out,Struck out
57,Appeal strike out l with no order as to costs.,Struck out
58,Appeal struck out,Struck out
59,Appeal Struck out with costs,Struck out
60,Appeal succeeds,Allowed
61,Appeal succeeds to the extent of the fourth and fifth grounds and it is hereby allowed,Allowed
62,"Appeal without merit and, it is accordingly dismissed with costs.",Dismissed
63,Appellant be released from prison forthwith unless he is otherwise lawfully held,Release ordered
64,"Appellant may re-file his suit in the Commercial Division of the High Court as per clause 14 of the Loan Facility Letter if he so wishes. Under the circumstances of this matter, we make no order as to costs.",Struck out
65,"Appellants be released forthwith from prison, unless they be held there for other lawful cause.",Release ordered
66,Appellant shall be released forthwith from custody unless lawfully held therein,Release ordered
67,"Appellant shall remain in custody awaiting his trial, unless admitted on bail",
68,Appellant should remain in custody and another Magistrate with competent jurisdiction to entere a conviction in compliance  with section 235 (1) of the Criminal Procedure Act (CPA),
69,Appellant should remain in custody pending being committed to the High Court for trial,
70,Appellants should remain in custody pending composition and delivery of the judgment by the trial court,
71,Applicant may make an oral application before the Court in the cause of hearing of the appeal to furnish the Court with the intended additional evidence,
72,Application allowed,Allowed
73,Application allowed  for extension of time to file the appeal,Allowed
74,Application be stayed,Allowed
75,"Application declared a nullity, quashed and set aside",Quashed | Proceedings nullified
76,Application dismissed,Dismissed
77,Application dismissed in it entirely,Dismissed
78,Application dismissed  with costs,Dismissed
79,Application dismissed with costs,Dismissed
80,Application dismissed without costs,Dismissed
81,Application fails and is accordingly dismissed with costs.,Dismissed
82,"Application fails and is, accordingly, dismissed with costs",Dismissed
83,Application fails and is dismissed,Dismissed
84,Application for extension of time granted,Allowed
85,"Application for reference before the High Court judge was incompetent since such court had no jurisdiction to entertain and determine it. Consequently, we find merit in the application and grant it.",Struck out
86,Application for reference devoid of merit and it is hereby dismissed with costs.,Dismissed
87,Application for reference devoid of merit it is accordingly dismissed with costs,Dismissed
88,Application for reference is dismissed.,Dismissed
89,Application for review granted,Allowed
90,Application granted,Allowed
91,Application granted  with costs,Allowed
92,Application is allowed,Allowed
93,Application is found to be meritorious and granted,Allowed
94,Application is granted,Allowed
95,Application is hereby adjourned to a future session of the Court,Adjourned
96,Application is meritorious and thus granted..,Allowed
97,Application is strike out with costs,Struck out
98,Application is unfounded and thus dismissed it with costs.,Dismissed
99,Application is unmerited and stands dismissed.,Dismissed
100,Application lacks merit and  hereby dismiss it in its entirety,Dismissed
101,Application strike out,Struck out
102,Application strike out with costs,Struck out
103,Application struck out,Struck out
104,Application struck out  each party shall bear its costs,Struck out
105,Application struck out from the statute book,Struck out
106,Application struck out with costs.,Struck out
107,Application with no merit  and dismissed it with costs.,Dismissed
108,"Both accused persons not guilty of the offence of Murder contrary to sections 196 and 197 of the Penal Code, [Cap 16, R.E. 2002] now [R.E 2022] as charged and proceed to acquit and immediate release from prison unless otherwise lawfully held.",Acquitted | Release ordered
109,Coss-appeal is partly allowed,Allowed in part
110,Dismissed the second respondent's preliminary objection,Dismissed
111,"During the pendency of the impending appeal, the applicants should not do anything that will dissipate the value of the bank guarantee issued as security",
112,Hearing of the appeal is adjourned to a date to be fixed by the Registrar.,Adjourned
113,immediate release of the appellants from prison unless they are lawfully held.,Release ordered
114,Invoke  revisional authority in pursuance of section 4 (2) of the AJA and quash the consequential order,Quashed
115,"Invoke the  revisional powers under section 4 (2) of the Appellate jurisdiction Act [Cap 141, R.E. 2019], quash that part of the High Court order dated 10.12.2020 directing EBK to file its written statement of defence and nullify all the proceedings subsequent to that order",Quashed | Proceedings nullified
146,Strike out the notice of appeal lodged by the respondent,Struck out
147,Suit dismissed with costs,Dismissed
148,Suit granted,Allowed
149,Summary Judgement entered in favour of the plaintiffs,Allowed
116,"Invoke the  revisional powers under section 4 (2) of the Appellate jurisdiction Act [Cap 141, R.E. 2019], quash that part of the High Court order dated 10.12.2020 directing EBK to file its written statement of defence and nullify all the proceedings subsequent to that order, also quash the resultant judgment and remit the record of Commercial Case No. 105 of 2020 to the High Court (Commercial Division) for retrial of the case after the mandatory provisions of Order I rule 10 (4) of the CPC have been complied with.",Quashed | Proceedings nullified | Retrial ordered | Remitted
117,Law reform recommendation,
118,Matter is marked settled,Settled by consent
119,No merit in the preliminary objection and dismiss it with costs.,Dismissed
120,Notice of Appeal has to be amended,
121,Nullify the proceedings and judgment of the Tribunal and that of the High Court,Proceedings nullified
122,Objection overruled,Dismissed
123,Objection sustained,Allowed
124,Petition dismissed,Dismissed
125,Petition partially succeed,Allowed in part
126,Preliminary objection is overruled with costs.,Dismissed
127,Preliminary Objection  overlewd with no  costs,Dismissed
128,"Preliminary objections are devoid of substance, they are accordingly overruled with costs",Dismissed
129,Proceedings nullified ito section 4(2) of the AJA,Proceedings nullified
130,Quashed,Quashed
131,"Quashed the conviction and set aside the sentence awarded to the appellant, and order his immediate release from prison unless lawfully held.",Quashed | Release ordered
132,"Quashed the judgments and set aside the orders, we remit the record to the trial Tribunal for it to conduct an expedited retrial according to law.",Quashed | Retrial ordered | Remitted
133,Quash his conviction and set aside the sentence immediate release from prison.,Quashed | Release ordered
134,Quash the conviction and set aside the sentence imposed on the appellant and  the appellant be set free unless he is being held for other lawful cause.,Quashed
135,"Quash the proceedings before the High Court as well as the judgment, and set aside the resultant orders",Quashed
136,Reference Dismissed,Dismissed
137,"Reference is unmerited, it stands dismissed.",Dismissed
138,Reject the applicant's motion for change of panel or for the recusal of one of us because that is against the clear provisions of rule 66 (5) of the Rules,Court recused
139,"Respective trial court's proceedings as a nullity., consequently,  the court  nullify the same from the date the respondent filed the amended written statement of defence and set aside the decree",Proceedings nullified
140,Retrial,Retrial ordered
141,Revision granted,Allowed
142,Second ground of appeal has merit   allow it to that extent with costs.,Allowed
143,Set aside the sentence,Sentenced
144,strike it out each party shall bear his own costs.,Struck out
145,Strike out the application with costs.,Struck out
150,"The Court decline to entertain the application in terms of rule 60(1) of the Rules, therefore,  adjourned  the hearing of the application for determination by the Court.",Adjourned
151,The matter to be remitted to the trial court for a trial to be conducted as expeditiously as possible,Remitted
152,The prayer for extension of time is granted to allow the applicant to lodge the contemplated appeal to the Court,Allowed
153,"In terms of section 4 (2) of the AJA, we quash the proceedings and resultant judgments of both lower courts set aside the sentences meted out against the appellants and order for an expedited retrial before another magistrate with competent jurisdiction.",Quashed | Retrial ordered
154,"Appeal succeeds to the extent stated, it being a matter falling within the realm of labour disputes, which, ordinarily, in terms of rule 51(1) 21 of the Labour Court Rules, 2007 - GN No. 106 of 2007.",Allowed
155,"Nullify the proceedings of the trial court, quash the judgment and set aside the decree, further make an order for an expedited retrial of the suit by another Judge",Quashed | Proceedings nullified | Retrial ordered
156,Stay execution of the decree of the High Court of Tanzania at Moshi in Land Case No. 10 of 2016 dated 08/06/2017 on condition that the applicant puts in the Court a Certificate of Title for such a plot as promised with at least half value of the disputed land immediately.,Allowed
157,The entire appeal is hereby dismissed.,Dismissed
158,Appeal is struck out and the decision of the High Court nullifying the  award of the CMA,Struck out | Proceedings nullified
159,Appeal granted,Allowed
160,Hearing of appeal is adjourned to another convenient sessions of the Court as it will be fixed by the Registrar after the intended additional evidence has been taken and certified to the Court by the trial court.,Adjourned
161,Suit  dismissed without costs,Dismissed
162,"Invoke  revisional powers bestowed  under section 4 (2) of the Appellate Jurisdiction Act, [Cap 141 R.E. 2019] and nullify the proceedings and judgment of the first appellate court in Criminal Appeal No. 65 of 2021, quash the upholding of conviction and sentence.",Quashed | Proceedings nullified
163,Strike out the appeal with costs for being time barred,Struck out
164,Appeal allowed  on the strength of the third ground,Allowed
165,"invoke revisional powers under rule 4(2) of the Tanzania Court of Appeal Rules, 2009 and revise the judgments and proceedings of both the District Court and the High Court, set aside the judgments of the two courts below, quash the proceedings thereof and restore the decision of the primary court",Quashed
166,Appeal dismissed in its entirety,Dismissed
296,Application is found to be time barred and dismissed with costs.,Struck out | Dismissed
167,"Appeal allowed and quash the appellant's conviction, set aside his sentence of death; and finally order his immediate release from prison, unless he is held there for any other lawful cause",Allowed | Quashed | Release ordered
168,"The proceedings and the judgment of the High Court in Economic Case No. 3 of 2021 are nullified, the conviction and sentences meted to the appellants are vacated and set aside and  direct the case to be heard afresh by another Judge of competent jurisdiction after receiving the consent from the DPP on the offence charged. The appeal is allowed to the extent.",Settled by consent | Allowed | Proceedings nullified | Retrial ordered | Sentenced
169,Appeal dismiss it entirely,Dismissed
170,Quash the conviction and set aside the sentence of 30 years imprisonment on the appellant. We order the immediate release of the appellant from prison unless he is being held there for another lawful cause.,Quashed | Release ordered
171,Appeal dismissed it entirely,Dismissed
172,Appeal dismiss it on its entirety,Dismissed
173,"Appeal allowed  the appeal, nullify the trial court's proceedings, quash conviction and set aside the appellant's sentence,  order a retrial of the appellant before a competent court upon receipt of a valid consent from the DPP. In the meantime, the appellant shall remain in custody pending retrial.",Settled by consent | Allowed | Quashed | Proceedings nullified | Retrial ordered
174,"The sentence of thirty years imprisonment is quashed and substituted with that of fifteen years' imprisonment, appeal partly allowed.",Allowed in part | Quashed | Sentenced
175,Appeal is devoid of substance and dismiss it with costs.,Dismissed
176,"The Court find merit in the sole ground of appeal and proceed to allow the appeal, consequently nullify the proceedings before the CMA and the decision thereon. Furthermore, quash the judgment of the High Court.",Allowed | Quashed | Proceedings nullified
177,Dismissed the appellant's appeal in its entirety,Dismissed
178,"The matter before this court is, by the consent of both parties, marked settled as per the terms and conditions contained in the deed of settlement",Settled by consent
179,Allowed the 3rd ground of appeal. going forward  direct that the record to be remitted to the trial court for the hearing de novo.,Allowed | Remitted
180,"The review proceedings are hereby nullified, the decision of the review and the subsequent orders are set aside remit the record to the High Court for fresh hearing and determination of the application for review. For avoidance of doubts, the said application shall be heard and determined by a Successor Judge.",Proceedings nullified | Remitted
181,"The entire Preliminary Objections have no legal basis and, are hereby overruled.",Dismissed
182,"Defendants liable for defamation and, hereby grant Plaintiff  reliefs.",Allowed
183,Whereby contributory negligence is involved.,
184,Application is hereby struck out with costs.,Struck out
185,"Application is hereby marked withdrawn with leave to refile under Rule 55 (1) and (2) of the Labour Court Rules,  the same be refiled within fourteen (14) days from the ruling hereof.",Withdrawn
186,Allow the second appellant's appeal and order his immediate release from prison if he is not otherwise being held lawfully.,Allowed | Release ordered
187,"Appeal allowed ,  further quash the conviction against the appellant and set aside the sentence imposed on the appellant.",Allowed | Quashed
188,"Appellant shall remain in custody pending retrial before a competent court,  further order that, should the appellant be found guilty and convicted, the served time in jail should be included in the jail term to be imposed.",Retrial ordered | Convicted
189,"Appeal allowed, quash the judgment of both lower courts and set aside the sentence imposed on the appellant, order the appellant's immediate release if he is not being held in custody for some other lawful cause.",Allowed | Quashed | Release ordered
190,"Appeal succeeds, with the end result that the judgment of the High Court in relation to the appellant is quashed, and its orders set aside. Although the judgment of the District Court appears to be failing short for not apportioning damages.",Allowed | Quashed
191,"Appeal allowed, quash the conviction and set aside the sentence. We further order the immediate release of the appellant from prison unless he is otherwise lawfully held.",Allowed | Quashed | Release ordered
192,"Appeal partly succeeds to the extent of the fourth and fifth grounds and fails to the extent of the first, second and third grounds, vary the judgment of the first appellate court so that the appellant's appeal thereat is dismissed to the extent of the 1st, 2nd and 3rd grounds and allowed to the extent of the 4th and 5th grounds. The awards of 40% value of the motor vehicle and possession of the two machines are quashed and set aside.",Allowed in part | Dismissed | Quashed
193,"Execution of the Award in Execution No. 12 of 2024 pending before the Land and Housing Tribunal at Chato is hereby stayed pending hearing and determination of the intended appeal on condition that; the applicants execute within fourteen days from the date of delivery of this ruling, a written bond undertaking to vacate from the suit land as ordered by the High Court in case the appeal is not decided in their favour.",Allowed
194,"Prosecution case was not proved beyond reasonable doubt, thus allow the appeal, quash the conviction and set aside the sentence of life imprisonment imposed on he appellant,  finally order the appellant's release from prison unless his continued incarceration is related to other lawful cause.",Allowed | Quashed | Release ordered
358,The Court  find the entire appeal devoid of merits and accordingly dismiss it.,Dismissed
195,"Trial court had jurisdiction to entertain the appellant's application to investigate the ownership of the motor vehicle,  thus allow the appeal, quash the ruling of the trial court and the resultant judgment of the High Court on an appeal and set aside all orders made thereto,  make a direction that, the original record be remitted to the trial court for hearing and determination on merit of Miscellaneous Criminal Application No. 1 of 2021 by another magistrate of competent jurisdiction.",Allowed | Quashed | Remitted
196,"It is partly allow the appeal, quash the conviction of murder and substitute it with the conviction of manslaughter, accordingly, set aside the sentence of death by hanging imposed by the trial court to the appellant, considering the circumstances pertaining to the killing of the deceased, and the period that the appellant has been in custody,  impose a term of imprisonment of fifteen years from the date of the appellant's conviction, that is, 8th July, 2022.",Allowed in part | Quashed | Sentence substituted
197,Access acquited,Acquitted
198,"Appellant, for the personal injuries suffered, is entitled to compensation in the form of special damages which, as we have found and held above, he specially pleaded and strictly proved as well as general damages grantable at our discretion. However, given that he contributed to the occurrence of the accident as already observed above, we order that he is entitled to only 75% of the total amount awarded as special and general damages, the decretal sum shall attract an interest of 7% at the court's rate from the date of judgment to the date of its satisfaction in full.",Allowed in part
199,"Court find merit in this  Application  considered opinion that the applicants gave plausible reasons which amounted to good cause to warrant extension of time under rule 10 of the Rules. Consequently, the applicants are given 60 days from the date of delivery of this ruling to lodge their memorandum and record of appeal.",Allowed
200,"Sentence of the accused shall start from 2nd November, 2023 because the irregularity was prompted by the trial court.",Sentenced
201,"The matter before this court is, by the consent of both parties, marked settled as per the terms and conditions contained in the deed of settlement.",Settled by consent
220,"Applicant has failed to comply with the two conditions listed under rule 11 (5) of the Rules, cumulatively. Consequently, for above given reasons, the appiication is accordingly dismissed with costs.",Dismissed
344,"Appeal is hereby dismissed under section 3 (1) of the Law of Limitation Act, Cap. 89 R.E 2019 for being time barred.",Struck out | Dismissed
578,Remitted to High Court for determination on merits,Allowed | Remitted
202,"General damages arising from the appellant's act of unlawfully evicting the 1st respondent and her children thereby causing them mental anguish and inconvenience, the amount of TZS 30,000,000.00 will meet the justice of the case, therefore, reduce the amount of the general damages awarded by the trial court to the above stated amount. The amount shall attract interest at the court's rate of 7% from the date of the trial court's judgment to the date of full payment this is in accordance with Order XX rule 21 of the Civil Procedure Code, Chapter 33 of the Revised Laws.",Allowed in part
203,Accused person acquitted,Acquitted
204,"Proposed order to remit the case file to the trial Magistrate or his successor in office to compose a proper judgement in  compliance with section 312(2) of the CPA is, in the circumstances of this matter, superfluous, thus allow the appeal, quash the conviction and set aside the sentence of three (3) years in community service and the compensation of TZS 1,500,000/=.",Allowed | Quashed | Remitted
205,"Accused person be kept in a mental health Hospital, as a mental disordered offender",Sentenced
206,Proceedings of the subordinate court are nullified  meanwhile the accused shall remain in custody pending the holding of fresh committal proceedings and his ultimate trial.,Proceedings nullified
207,"Proceedings of the subordinate court are nullified meanwhile, the accused shall remain in custody pending the holding of fresh committal proceedings and his ultimate trial.",Proceedings nullified
208,"Court partly allow the appeal and the result effect is that, we quash the conviction and set aside the sentence imposed upon the appellant and the compensation order for payment of TZS. lm to each victim. We further make an order of the immediate release of the appellant, Ibrahim Eston, from prison unless he is otherwise lawfully held.",Allowed in part | Quashed | Release ordered
209,"In a nutshell, the prosecution did not discharge its duty of proving the case to the standard required, therefore, the appeal is merited and it is allowed. Consequently, the court  order the immediate release of the appellant forthwith unless if held for some other lawful cause.",Allowed | Discharged | Release ordered
210,"It was wrong to sentence the appellant to life imprisonment and in addition three strokes of a cane,  thus quash the sentences meted on the appellant and allow the appeal to the term served. Consequently, the appellant should be released forthwith unless held for other lawful cause.",Allowed | Quashed | Release ordered
229,"For the avoidance of doubts, nullify the proceedings, quash the judgment and set aside the sentence,  order the record to be remitted to the High Court for a retrial according to law, meanwhile the appellant shall remain in custody.",Quashed | Proceedings nullified | Retrial ordered | Remitted
211,"In the circumstances, we remain with no option other than agreeing with Ms. Makala that, having discarded the evidence of PW1, the remaining evidence on record is insufficient to sustain the appellant's conviction, it follows therefore that, the case against the appellant was not proved beyond reasonable doubt. Consequently,  allow the appeal, quash conviction and set aside the appellant's sentence,  order immediate release of the appellant from prison unless held therein for a lawful cause.",Allowed | Quashed | Release ordered
212,Revision dismissed,Dismissed
213,"It is settled that such an order will be at loggerhead with the justice of this case,  instead, the court  agree with Mr. Mwita again who invited us to set the appellant free and leave the matter at the DPP's good wisdom to decided whether to prosecute again or not, this course of action was taken by the Court in Joseph Ngadupa Akilimbaya (supra) and  shall do the same but on condition that such decision by the DPP must be taken not later than 18 months from the date of delivery of this judgment,  accordingly, order the release of the appellant forthwith unless he is being held for some other lawful cause.",Settled by consent | Release ordered
214,"Court find merit in the appeal and we allow it. Accordingly,  quash the conviction, set aside the sentence and order that the appellant be immediately set free unless held for some other lawful cause.",Allowed | Quashed
215,"Nullify the judgment and proceedings of the High Court and remit the record thereof for redetermination of appeal before another judge,  Since this is an old case, court direct that the rehearing of the appeal be done expeditiously.",Proceedings nullified | Remitted
216,"Court satisfied that the prosecution case was not proved beyond reasonable doubt. Consequently,  allow the appeal, quash conviction and set aside the life imprisonment sentence imposed on the appellant, order his immediate release from prison unless otherwise he is lawfully held.",Allowed | Quashed | Release ordered
217,"Appeal is partly allowed to the extent shown herein above. In the circumstances and from the fact that the appeal arose from a labour dispute, we make no order as to costs.",Allowed in part
218,Appeal fails in its entirety and is accordingly dismissed,Dismissed
219,"Appeal allowed, nullify the proceedings and judgment, quash the conviction and set aside the sentence by the trial court, do the same to the proceedings and judgment of the High Court sustaining the trial court's decision,  hereby order the appellant to be released from prison forthwith if not held therein for any other justifiable cause.",Allowed | Quashed | Proceedings nullified | Release ordered
561,"In the final analysis, the Court  find that the appeal is devoid of merit and accordingly dismiss it in its entirety.",Dismissed
221,"Application granted  and order that the execution of the Judgment and Decree of the High Court (Land Division) in Land Case No. 60 of 2022 which was delivered on 7th March, 2023, be stayed pending the hearing and determination of Civil Appeal No. 800 of 2023 pending in the Court, further order that the applicants should deposit a Bank's Guarantee covering the value of the disputed land to the tune of 5 million Shillings as security for the due performance of the decree within thirty days from the date of the delivery of this Ruling.",Allowed
222,"Appeal  allowed , accordingly  quash the appellant's conviction and substitute it with an acquittal resulting into setting aside the sentence imposed on the appellant, consequently,  order for immediate release of the appellant from prison unless he is being held for some other lawful cause",Allowed | Acquitted | Quashed | Sentence substituted | Release ordered
223,"Invoke revision powers under section 4 (2) of the Appellate Jurisdiction Act [CAP 141 R.E.2019] and hereby quash and set aside the trial proceedings and the impugned judgment together with the subsequent orders, direct the case file to be returned to the High Court for an expedited trial prior to which parties should be required to amend the pleadings and join the Registrar.",Quashed
224,"Accept the invitation extended to us by the learned counsel of the parties and hereby invoke our power of revision bestowed upon us under section 4 (2) of the Appellate Jurisdiction Act, Cap 141 of the Revised Edition 2019, quash and set aside the entire proceedings and judgment of the trial court together with subsequent orders, further direct that Land Case No. 46 of 2014 be set down for trial after the Registrar of Titles is joined as a party in terms of Order 1 Rule 10 (2) of the CPC,",Quashed
225,"Appeal allowed, quash the appellants' convictions and set aside their sentences, order the appellants to be released forthwith from prison, unless they are otherwise lawfully held.",Allowed | Quashed | Release ordered
226,"Court find merit in the appeal which  accordingly allow,  order for the immediate release of the appellants from prison if they are not otherwise detained for some other lawful cause.",Allowed | Release ordered
227,"Appeal allowed, quash the appellant's convictions and set aside the sentences imposed on all counts by the trial court and sustained by the High court,  order that he be set free forthwith if not held for any justifiable cause.",Allowed | Quashed
228,"Allow the appellants' appeal in its entirety,  further proceed to order the appellants to be released from prison forthwith unless they are otherwise lawfully held.",Allowed | Release ordered
230,"Appeal, therefore, has merit and it is allowed, consequently quash the conviction and set aside the sentence imposed against the appellant  further order for his immediate release from custody unless therein withheld for other lawful reasons.",Allowed | Quashed | Release ordered
231,"Applicant has not accounted for each day of the delay as required and has offended the requirement for a litigant to observe the time schedule for the taking of steps in judicial proceedings, accordingly proceed to dismiss the application with cost for the reasons stated above.",Dismissed
232,"Since the applicant bears the burden of proof, it is upon him to clear the doubts as regards the two stories told by the two affidavits, this he has not been able to do the affidavit which was served on the respondent contradicts the one on record and since this fact was raised in the affidavit in reply, it is not extraneous, the court hold that the application is incompetent for being supported by an untrue affidavit.",Struck out
233,"In exercise of our revisional powers under section 4 (2) of the Appellate Jurisdiction Act, Cap 141 R. E. 2019, quash and set aside the dismissal order by the High Court in Revision No. 47 of 2016  and, in lieu thereof, substitute it with an order striking out the application.",Dismissed | Quashed
234,"Invoke our revisional jurisdiction under section 4(2) of the AJA, quash and set aside the trial proceedings subsequent to the amendment order dated 7/2/2019, the impugned judgment and subsequent orders, further direct that, the case file be returned to the High Court for it to conduct an expedited trial given that the case file has been in the court corridors for the past 24 years.",Quashed
235,"Application is meritorious, it is granted as prayed, the applicant is given five (5) days reckoned from the date of delivery of this ruling within which to serve the respondent with the memorandum and record of appeal.",Allowed
236,"Allow the appeal and proceed to quash and set aside the impugned conviction and sentence, the appellant should be promptly released from prison, unless otherwise incarcerated in accordance with the law.",Allowed | Quashed | Release ordered
237,"Applicant did not demonstrate any good cause that would entitle her to the sought extension, in the result, the application is not merited it is accordingly dismissed in its entirety.",Dismissed
238,The Court do not find cogent reasons to disturb the concurrent findings of the two courts as such uphold the conviction and sentence of the appellant and proceed to dismiss the appeal in its entirety.,Dismissed | Sentenced
239,"Appeal stands dismissed in ground one   nevertheless, in view of the illegality in the determination of ancillary reliefs by both the trial court and the first appellate court,  constrained to exercise revisional power under section 4 (2) of the ADA to correct the illegality in the judgments of both courts consequently, quash the orders of division of assets and custody of children made by the first appellate court and the trial court for being a nullity.",Dismissed | Quashed | Proceedings nullified
240,"Preliminary objection by the first respondent is upheld, application is thus struck out with costs.",Struck out
241,Appeal lacking in merit and proceed to dismiss it in its entirety.,Dismissed
242,Appeal is accordingly dismissed,Dismissed
243,"Appeal unmerited, the Court accordingly, dismiss it in its entirely.",Dismissed
244,Appeal to have no merit and dismiss it in its entirety,Dismissed
245,"Appeal is partly allowed, whereas, the conviction on the second count of unnatural offence is quashed and the respective sentence of life imprisonment is set aside, the conviction on the first count of rape and its respective sentence of thirty (30) years' imprisonment, are sustained.",Allowed in part | Quashed
246,"The court accordingly, invoke  revisonal powers under section 4(2) of the Appellate Jurisdiction Act and set aside the judgment and decree of the trial court and nullify the proceedings thereof, further direct that the record be remitted to the trial court for trial before another judge after the Rungwe District Council had been joined as a party.",Proceedings nullified | Remitted
247,"Appeal allowed, quash the conviction and set aside the sentence order the appellant's release immediately if his continued incarceration is not for another lawful cause.",Allowed | Quashed | Release ordered
248,"Appellant's appeal allowed,  quash the conviction and set aside the sentence of thirty (30) years imposed upon the appellant further make an order of the immediate release of the appellant, John Mohamed, from prison unless he is otherwise lawfully held.",Allowed | Quashed | Release ordered
249,"No merit in the appellant's appeal, henceforth dismiss it with costs.",Dismissed
250,"Appellant's appeal allowed, quash his conviction and set aside the custodial sentence imposed on him, proceed to order his immediate release from prison forthwith, unless held for some other lawful cause.",Allowed | Quashed | Release ordered
251,Appeal allowed  and order that the appellants be released from prison forthwith if no other justifiable cause holds them therein.,Allowed | Release ordered
252,"Appeal is devoid of merit, and  hereby dismiss it with costs.",Dismissed
253,Application granted  pursuant to rule 11 (2) of the Rules and suspend the execution of the distress warrant issued pending hearing and determination of the intended appeal.,Allowed
